Arabidopsis NN O
Phospholipase NNP O
C3 NNP O
is VBZ O
Involved VBN O
in IN O
Lateral NNP O
Root NNP O
Initiation NNP O
and CC O
ABA NNP O
Responses NNS O
in IN O
Seed NNP O
Germination NNP O
and CC O
Stomatal NNP O
Closure NNP O
. . O

Phospholipase NN O
C NNP O
( -LRB- O
PLC NNP O
) -RRB- O
is VBZ O
well RB O
known VBN O
for IN O
its PRP$ O
role NN O
in IN O
animal NN O
signaling NN O
, , O
where WRB O
it PRP O
generates VBZ O
the DT O
second JJ O
messengers NNS O
, , O
inositol NN O
1,4,5-trisphosphate CD O
( -LRB- O
IP3 NNP O
) -RRB- O
and CC O
diacylglycerol NN O
( -LRB- O
DAG NN O
) -RRB- O
, , O
by IN O
hydrolyzing VBG O
the DT O
minor JJ O
phospholipid NN O
, , O
phosphatidylinositol VBP O
4,5-bisphosphate CD O
( -LRB- O
PIP2 NNP O
) -RRB- O
, , O
upon IN O
receptor NN O
stimulation NN O
. . O

In IN O
plants NNS O
, , O
PLC NNP O
's POS O
role NN O
is VBZ O
still RB O
unclear JJ O
, , O
especially RB O
because IN O
the DT O
primary JJ O
targets NNS O
of IN O
both CC O
second JJ O
messengers NNS O
are VBP O
lacking VBG O
, , O
i.e. FW O
the DT O
ligand-gated NN O
Ca2 NN O
+ SYM O
channel NN O
and CC O
protein NN O
kinase NN O
C NNP O
, , O
and CC O
because IN O
PIP2 JJ O
levels NNS O
are VBP O
extremely RB O
low JJ O
. . O

Nonetheless RB O
, , O
the DT O
Arabidopsis NNP O
genome VBP O
encodes NNS O
nine CD O
PLCs NNS O
. . O

We PRP O
used VBD O
a DT O
reversed-genetic JJ O
approach NN O
to TO O
explore VB O
PLC NNP O
's POS O
function NN O
in IN O
Arabidopsis NNP O
, , O
and CC O
report VB O
here RB O
that IN O
PLC3 NNP B-Gene
is VBZ O
required VBN O
for IN O
proper JJ O
root NN O
development NN O
, , O
seed NN O
germination NN O
and CC O
stomatal JJ O
opening NN O
. . O

Two CD O
independent JJ O
knock-down VB B-Var
mutants NNS I-Var
, , O
plc3-2 NN O
and CC O
plc3-3 NN O
, , O
were VBD O
found VBN O
to TO O
exhibit VB O
reduced VBN B-NegReg
lateral JJ B-CPA
root NN I-CPA
densities NNS I-CPA
by IN O
10-20 CD O
% NN O
. . O

Mutant JJ B-Var
seeds NNS O
germinated VBD B-CPA
more RBR O
slowly RB B-NegReg
but CC O
were VBD O
less RBR O
sensitive JJ O
to IN O
ABA NN O
to TO O
prevent VB O
germination NN O
. . O

Guard VB O
cells NNS O
of IN O
plc3 NN O
were VBD O
also RB O
compromised VBN O
in IN O
ABA-dependent NN O
stomatal JJ O
closure NN O
. . O

b'Promoter-\xce\xb2-glucuronidase' NNP O
( -LRB- O
GUS NNP O
) -RRB- O
analyses VBZ O
confirmed VBD O
PLC3 NNP O
expression NN O
in IN O
guard NN O
cells NNS O
and CC O
germinating VBG O
seeds NNS O
, , O
and CC O
revealed VBD O
that IN O
the DT O
majority NN O
is VBZ O
expressed VBN O
in IN O
vascular JJ O
tissue NN O
, , O
most RBS O
probably RB O
phloem JJ O
companion NN O
cells NNS O
, , O
in IN O
roots NNS O
, , O
leaves NNS O
and CC O
flowers NNS O
. . O

In IN O
vivo NN O
32Pi CD O
labeling NN O
revealed VBD O
that IN O
ABA NNP O
stimulated VBD O
the DT O
formation NN B-MPA
of IN I-MPA
PIP2 NNP I-MPA
in IN O
germinating VBG O
seeds NNS O
and CC O
guard VB O
cell-enriched NN O
leaf NN O
peels NNS O
, , O
which WDT O
was VBD O
significantly RB O
reduced VBN B-NegReg
in IN O
plc3 JJ B-Gene
mutants NNS B-Var
