Genetic JJ O
modifiers NNS O
of IN O
the DT O
Drosophila NNP O
blue JJ O
cheese NN O
gene NN O
link NN O
defects NNS O
in IN O
lysosomal JJ O
transport NN O
with IN O
decreased VBN O
life NN O
span NN O
and CC O
altered VBD O
ubiquitinated-protein JJ O
profiles NNS O
. . O

Defects NNS O
in IN O
lysosomal JJ O
trafficking NN O
pathways NNS O
lead VBP O
to IN O
decreased VBN O
cell NN O
viability NN O
and CC O
are VBP O
associated VBN O
with IN O
progressive JJ O
disorders NNS O
in IN O
humans NNS O
. . O

Previously RB O
we PRP O
have VBP O
found VBN O
that IN O
loss-of-function NN O
( -LRB- O
LOF NNP O
) -RRB- O
mutations NNS B-Var
in IN O
the DT O
Drosophila NNP B-Gene
gene NN I-Gene
blue JJ I-Gene
cheese NN I-Gene
( -LRB- O
bchs NNS O
) -RRB- O
lead VB O
to IN O
reduced VBN B-NegReg
adult NN B-CPA
life NN I-CPA
span NN I-CPA
, , O
increased VBN B-PosReg
neuronal JJ B-CPA
death NN I-CPA
, , O
and CC O
widespread JJ B-CPA
CNS NN I-CPA
degeneration NN B-NegReg
that WDT O
is VBZ O
associated VBN O
with IN O
the DT O
formation NN O
of IN O
ubiquitinated-protein JJ O
aggregates NNS O
. . O

To TO O
identify VB O
potential JJ O
genes NNS O
that WDT O
participate VBP O
in IN O
the DT O
bchs JJ O
functional JJ O
pathway NN O
, , O
we PRP O
conducted VBD O
a DT O
genetic JJ O
modifier NN O
screen NN O
based VBN O
on IN O
alterations NNS O
of IN O
an DT O
eye NN O
phenotype NN O
that WDT O
arises VBZ O
from IN O
high-level JJ O
overexpression NN O
of IN O
Bchs NNP O
. . O

We PRP O
found VBD O
that IN O
mutations NNS O
in IN O
select JJ O
autophagic JJ O
and CC O
endocytic JJ O
trafficking NN O
genes NNS O
, , O
defects NNS O
in IN O
cytoskeletal JJ O
and CC O
motor NN O
proteins NNS O
, , O
as RB O
well RB O
as IN O
mutations NNS O
in IN O
the DT O
SUMO NNS O
and CC O
ubiquitin JJ O
signaling NN O
pathways NNS O
behave VBP O
as IN O
modifiers NNS O
of IN O
the DT O
Bchs NNP O
gain-of-function NN O
( -LRB- O
GOF NN O
) -RRB- O
eye NN O
phenotype NN O
. . O

Individual JJ O
mutant JJ O
alleles NNS O
that WDT O
produced VBD O
viable JJ O
adults NNS O
were VBD O
further RB O
examined VBN O
for IN O
bchs-like NNS O
phenotypes NNS O
. . O

Mutations NNS B-Var
in IN O
several JJ O
lysosomal JJ B-Gene
trafficking NN I-Gene
genes NNS I-Gene
resulted VBD O
in IN O
significantly RB O
decreased VBN B-NegReg
adult NN B-CPA
life NN I-CPA
spans NNS I-CPA
and CC O
several JJ O
mutants NNS O
showed VBD O
changes NNS B-Reg
in IN O
ubiquitinated JJ B-MPA
protein NN I-MPA
profiles NNS I-MPA
